100000
230	747	0.815907
363	371	0.515143
356	271	0.714962
254	513	0.213574
210	754	0.801576
909	902	0.178748
15	629	0.266698
184	594	0.755565
123	855	0.506677
730	274	0.285898
325	45	0.964393
736	477	0.163323
147	34	0.746375
623	250	0.819754
139	320	0.142124
527	216	0.964300
530	333	0.121795
208	52	0.386947
570	360	0.417855
795	665	0.451286
572	447	0.420708
897	581	0.290892
724	357	0.346947
152	95	0.433168
878	659	0.084413
852	336	0.401062
452	108	0.578882
451	868	0.735032
808	425	0.864415
683	577	0.540640
263	182	0.970644
314	368	0.455275
889	722	0.726788
32	209	0.917561
53	385	0.217465
882	851	0.844223
254	806	0.662623
611	302	0.597805
724	801	0.459190
617	547	0.254559
888	407	0.956208
322	179	0.173632
446	408	0.647052
976	425	0.094484
330	197	0.448106
58	115	0.632200
264	699	0.455057
996	488	0.572445
513	910	0.259374
730	894	0.771501
772	431	0.252439
100	747	0.137291
773	917	0.445967
864	707	0.212220
689	510	0.378165
755	981	0.529679
391	53	0.554113
93	367	0.549501
753	548	0.698343
145	702	0.130549
258	482	0.290309
801	415	0.730860
236	122	0.368384
553	301	0.528828
745	372	0.591324
246	186	0.995114
948	182	0.007493
549	584	0.833978
851	576	0.187928
596	860	0.770789
399	741	0.026878
447	725	0.554457
322	229	0.661317
412	342	0.840931
265	498	0.763807
764	993	0.740902
421	572	0.692928
533	467	0.985621
695	285	0.387281
755	424	0.997299
442	50	0.648222
900	442	0.929135
800	378	0.249418
878	586	0.453318
894	823	0.619379
812	729	0.775269
233	500	0.501503
559	764	0.857079
935	848	0.771825
224	291	0.923535
649	706	0.111264
645	643	0.903073
86	831	0.948051
628	707	0.129051
126	125	0.490851
164	902	0.924260
318	417	0.796499
695	12	0.883440
13	9	0.528812
373	667	0.820288
171	283	0.629106
371	304	0.389984
418	45	0.830733
767	734	0.589385
858	505	0.951108
227	180	0.644655
218	700	0.235242
632	314	0.410641
862	709	0.479008
300	546	0.765147
236	887	0.110076
770	706	0.491773
259	419	0.797184
389	592	0.983115
500	873	0.447286
966	498	0.413741
164	646	0.100116
373	552	0.059675
423	887	0.422116
89	6	0.674590
23	39	0.580323
3	241	0.451477
378	741	0.965580
783	379	0.659517
738	175	0.593267
181	30	0.333200
293	103	0.771782
246	127	0.116770
